Date,Account,Category,Note,INR,Income/Expense
30/11/2024,online payment,Gift,Bharath birthday,115,Expense
30/11/2024,online payment,Food,Lunch with company,128,Expense
30/11/2024,online payment,Food,Breakfast,70,Expense
29/11/2024,online payment,Food,Lunch with company,40,Expense
29/11/2024,online payment,Food,Dinner,50,Expense
29/11/2024,online payment,Food,Panipoori,40,Expense
29/11/2024,online payment,Food,Breakfast,40,Expense
28/11/2024,online payment,Food,Snack,94,Expense
28/11/2024,online payment,Food,Zomato,269.4,Expense
27/11/2024,online payment,Food,Dinner with gowdham,120,Expense
27/11/2024,online payment,Food,Dinner with gowdham,130,Expense
27/11/2024,online payment,Transportation,Rapido,35,Expense
27/11/2024,online payment,Food,Lunch with company,75,Expense
27/11/2024,online payment,Allowance,From dad,2000,Income
27/11/2024,online payment,Food,Breakfast,30,Expense
26/11/2024,online payment,Food,Beer,150,Expense
26/11/2024,online payment,Food,Snack,102,Expense
26/11/2024,online payment,Food,Panipoori,40,Expense
26/11/2024,online payment,Petty cash,Cashback,3,Income
26/11/2024,online payment,Food,Lunch with company,150,Expense
26/11/2024,online payment,Food,Breakfast,60,Expense
25/11/2024,online payment,Food,Lunch with company,145,Expense
25/11/2024,online payment,Transportation,Rapido,58,Expense
25/11/2024,online payment,Food,Dinner,95,Expense
24/11/2024,online payment,Food,Snack,15,Expense
24/11/2024,online payment,Food,Dinner,70,Expense
24/11/2024,online payment,Food,Panipoori,20,Expense
24/11/2024,online payment,Transportation,Rapido,58,Expense
23/11/2024,online payment,Transportation,Rapido,50,Expense
23/11/2024,online payment,Food,Dinner,179,Expense
22/11/2024,online payment,Food,Dinner,90,Expense
22/11/2024,online payment,Food,Lunch with company,97,Expense
21/11/2024,online payment,Transportation,Rapido,130,Expense
21/11/2024,online payment,Food,Lunch,875,Expense
21/11/2024,online payment,Other,Got from gobi,2000,Income
